0,4th Down Sports Bar,"['750 Grand St', 'Brooklyn, NY 11211']",WighGWv8nmo5N6f0FZETHw,4.5,48,"{'latitude': 40.7115402, 'longitude': -73.9432755}",$
1,Standings,"['43 E 7th St', 'New York, NY 10003']",VCoSWqRuQVvyKS32sZqgRw,4.0,147,"{'latitude': 40.72832, 'longitude': -73.98855}",$$
2,Tailgate Outdoor Sports Bar,"['86 N 11th St', 'Brooklyn, NY 11249']",IXujdH6UqFrYHUyzMqFrVg,4.0,13,"{'latitude': 40.72139596280044, 'longitude': -73.95763005384187}",
3,The Three Monkeys,"['236 W 54th St', 'New York, NY 10019']",IBgjj5VBu5JJvKgo9EzKrg,4.0,1193,"{'latitude': 40.764164, 'longitude': -73.98306}",$$
4,The Grayson,"['16 1st Ave', 'New York, NY 10009']",RAejT6MPqqpprhgiCDdyJA,3.5,232,"{'latitude': 40.72338, 'longitude': -73.98797}",$$
5,Bar-Coastal NYC,"['1495 1st Ave', 'New York, NY 10075']",UjdqrYedKDokSPE2dDwFbA,4.0,297,"{'latitude': 40.77189, 'longitude': -73.95342}",$$
6,The Grafton,"['126 1st Ave', 'New York, NY 10009']",ZCfqAtpASbibf_YaU1rIpw,4.0,78,"{'latitude': 40.7271881103516, 'longitude': -73.9851989746094}",$$
7,Union Grounds,"['270 Smith St', 'New York, NY 11231']",-mttoQ5KTGlOJqbuYE3o9Q,4.0,69,"{'latitude': 40.6826515, 'longitude': -73.9933624}",$$
8,Triona's On Third,"['192 3rd Ave', 'New York, NY 10003']",e4FbDBoHWCOvDoHkrXzPsA,4.0,97,"{'latitude': 40.7355003356934, 'longitude': -73.9857711791992}",$$
9,Croxley's Ale House - Brooklyn,"['63 Grand St', 'Brooklyn, NY 11249']",lFPumaCSb159q18nKXnEzg,3.5,316,"{'latitude': 40.716096, 'longitude': -73.964839}",$$
10,Smithfield Hall,"['138 W 25th St', 'New York, NY 10001']",GlSWzWVmQsKLGxySYSGRbQ,4.0,478,"{'latitude': 40.7447532620452, 'longitude': -73.9934939850447}",$$
11,Triona's,"['237 Sullivan St', 'New York, NY 10012']",_xRGTDjG-nYMgCCNcmCoNQ,4.0,112,"{'latitude': 40.72989, 'longitude': -73.99938}",$
12,Tap Haus 33,"['14 E 33rd St', 'New York, NY 10016']",lNP1km2kaEtlsBw2VNHHhQ,4.5,215,"{'latitude': 40.747247, 'longitude': -73.9843}",$$
13,Fulton Hall,"['250 Ashland Pl', 'Brooklyn, NY 11217']",mfeXowi4L3Uk__BJYYiuoQ,4.0,58,"{'latitude': 40.6876387450716, 'longitude': -73.9783539913113}",$$
14,Kent Ale House,"['51 Kent Ave', 'Brooklyn, NY 11249']",SBLoGGk936tFHg0gYSZ-ow,4.0,179,"{'latitude': 40.7223281860352, 'longitude': -73.9592514038086}",$$
15,Blondies Sports,"['212 W 79th St', 'New York, NY 10024']",zzVeJukpmXchLTQQhxzQjQ,3.5,461,"{'latitude': 40.78321, 'longitude': -73.97919}",$$
16,Bleachers Sports Bar & Grill,"['240 Flatbush Ave', 'Park Slope, NY 11217']",iLkU9Wo0Zte4DechmGnMqg,3.0,79,"{'latitude': 40.6802563732559, 'longitude': -73.9749691478851}",$$
17,The Hairy Lemon Pub,"['28 Avenue B', 'New York, NY 10009']",s-n0KW8iqiq-C96tpxm2rA,4.5,72,"{'latitude': 40.72249, 'longitude': -73.98338}",$
18,The Soccer Republic,"['251 W 51st St', 'New York, NY 10019']",5cWiDSoiaOUjBLSTKxRkNg,4.0,52,"{'latitude': 40.7628417, 'longitude': -73.9850351}",$$
19,Clara's,"['53 Wilson Ave', 'Brooklyn, NY 11237']",hcxdYdqMiuFVPYza3DEkdQ,4.5,115,"{'latitude': 40.7025937642269, 'longitude': -73.9287076595245}",$$
20,Legends New York City,"['6 W 33rd St', 'New York, NY 10001']",wKxir9c-sdzfWsMYxrRAJA,3.5,415,"{'latitude': 40.7479973137379, 'longitude': -73.9857148379087}",$$
21,Roebling Sporting Club,"['225 N 8th St', 'Brooklyn, NY 11211']",NoKrcCTeoLOlN4_-UMrjGA,3.5,69,"{'latitude': 40.71698, 'longitude': -73.95466}",$$
22,The Ainsworth,"['122 W 26th St', 'New York, NY 10001']",hgwnIf9c9_IvY40YhdqQfw,3.0,635,"{'latitude': 40.745182, 'longitude': -73.992583}",$$
23,Blue Haven,"['108 W Houston St', 'New York, NY 10012']",-2smQGGU3npnPljI8OUwfA,3.5,193,"{'latitude': 40.727572, 'longitude': -74.000566}",$$
24,O'Hara's Restaurant and Pub,"['120 Cedar St', 'Ste 4', 'New York, NY 10006']",ZnhRUBos9FGQZrzbcPn6Vg,4.0,467,"{'latitude': 40.7093473589949, 'longitude': -74.0122557367896}",$$
25,Greenwich Sports Tavern Village,"['1 7th Ave S', 'New York, NY 10014']",3kqGCsIwLwhzWvgyFK6yow,4.0,31,"{'latitude': 40.729714, 'longitude': -74.004792}",
26,Gramercy Ale House,"['272 3rd Ave', 'New York, NY 10010']",bWhupxuUj3LTu0aK3CuOtA,3.5,89,"{'latitude': 40.73797, 'longitude': -73.98413}",$$
27,Lion's Head Tavern,"['995 Amsterdam Ave', 'New York, NY 10025']",Y_8ZwQYDznZX1-rs_wm6RQ,4.0,223,"{'latitude': 40.80214, 'longitude': -73.96406}",$$
28,Barriles Restaurant and Sports Bar,"['83-14 37th Ave', 'Jackson Heights, NY 11372']",okShSwX3iNeQ4os3751yOg,3.5,94,"{'latitude': 40.7496763, 'longitude': -73.8828024}",$$
29,Blue Haven East,"['493 3rd Ave', 'New York, NY 10016']",ECbvfMyJMd2SpNRb_01I5A,4.5,44,"{'latitude': 40.74522, 'longitude': -73.97827}",$$
30,Dark Horse,"['17 Murray St', 'New York, NY 10007']",bJdS98j_HTfyg-xUlu6V5A,4.0,396,"{'latitude': 40.713718, 'longitude': -74.008036}",$$
31,J.Bespoke,"['121 E 27th St', 'New York, NY 10016']",y8oTTcZqb7RPA0Zu8wTyqA,4.5,26,"{'latitude': 40.742498, 'longitude': -73.983481}",
32,Finn’s Corner,"['660 Washington Ave', 'Brooklyn, NY 11238']",ZhwXNucu2sV9XfILoXbNjw,4.0,37,"{'latitude': 40.6784, 'longitude': -73.96404}",$$
33,Windy City Ale House,"['7915 3rd Ave', 'Brooklyn, NY 11209']",az4tZj2pFMBCy-X84cQXxA,4.0,124,"{'latitude': 40.628039, 'longitude': -74.028829}",$$
34,Harlem Public,"['3612 Broadway', 'New York, NY 10031']",zWem2SAbFc7lIYR2y9DE0g,4.0,1006,"{'latitude': 40.828717774457, 'longitude': -73.9484412254424}",$$
35,The Commissioner,"['247 5th Ave', 'Brooklyn, NY 11215']",xHgMfdyLA5SPQz4c3ItTgg,5.0,141,"{'latitude': 40.67487, 'longitude': -73.98137}",$
36,Game Day Sports Bar,"['5757 Broadway', 'Bronx, NY 10463']",H4rjZ8ya-NYuxAnPflzo1g,5.0,25,"{'latitude': 40.88350833, 'longitude': -73.90170833}",
37,Black Walnut Public House,"['140 Schermerhorn St', 'Brooklyn, NY 11201']",d0Up0vNOqr1eL3EtjHboMA,4.0,39,"{'latitude': 40.6896982, 'longitude': -73.9881975}",$$$
38,All Stars Sports Bar & Grill,"['327 W 57th St', 'New York, NY 10019']",EnGZNQRml1HbcfT1eCfJBw,4.0,57,"{'latitude': 40.76741, 'longitude': -73.98408}",$$
39,District Tap House,"['246 W 38th St', 'New York, NY 10018']",Z65cd3Z7JvwK8TnSVg-cfA,4.0,818,"{'latitude': 40.75409, 'longitude': -73.99039}",$$
40,IV Purpose,"['1489 Fulton St', 'Brooklyn, NY 11216']",iEfftZZq-jiR4UV2_fnFVA,4.5,19,"{'latitude': 40.68012, 'longitude': -73.94176}",
41,East End Bar & Grill,"['1664 1st Ave', 'Between 86th & 87th St', 'New York, NY 10028']",kRuWQS_e9G87fCqelpMEFA,4.0,181,"{'latitude': 40.777278, 'longitude': -73.94873}",$$
42,The Bowery Beer Garden,"['93 Bowery', 'New York, NY 10002']",7yJ3fOQp3oj2xuDaUGD3_A,3.0,86,"{'latitude': 40.7171, 'longitude': -73.99533}",$$
43,Whiskey Tavern,"['79 Baxter St', 'New York, NY 10013']",c3Ww3pgeHjBi3ctkeUWrjQ,4.5,781,"{'latitude': 40.71646, 'longitude': -73.99969}",$$
44,Charlies Sports Bar,"['4408 60th St', 'Woodside, NY 11377']",yy42y6h3iLExmrkY7ssNqg,4.0,13,"{'latitude': 40.741873, 'longitude': -73.904721}",$
45,Tap House,"['72-07 Austin St', 'Forest Hills, NY 11375']",dRKgo1PtygjL5ln_AUYhWg,3.5,199,"{'latitude': 40.7192292809486, 'longitude': -73.8422159850597}",$$
46,McMahon's Public House,"['39 5th Ave', 'Brooklyn, NY 11217']",HWTH6QwatW6lcYaIWgw4Kg,4.0,191,"{'latitude': 40.6816498, 'longitude': -73.9765623}",$$
47,Five Iron Golf,"['22 Stone St', 'New York, NY 10004']",b_21eSHtluULgWd8r3EfUA,5.0,14,"{'latitude': 40.7041736028743, 'longitude': -74.0105148450791}",
48,Eastpoint,"['25 Ave B', 'New York, NY 10009']",r2eXF4w9e8_V3RQTTPTfKw,4.0,67,"{'latitude': 40.72228, 'longitude': -73.98311}",$$
49,Wogies Bar & Grill,"['39 Greenwich Ave', 'New York, NY 10014']",L9GlASdPU4rZEc3FWCsE8Q,4.0,327,"{'latitude': 40.73539, 'longitude': -74.00057}",$$
0,Honore Club,"['173 Irving Ave', 'Brooklyn, NY 11237']",BPbpVx_U-J5vo3joig7oBg,4.5,12,"{'latitude': 40.70223, 'longitude': -73.9198}",
1,Play Sport Club,"['52 Walker St', 'New York, NY 10013']",eF9VfTWXm8cnVFjXYTaqgA,4.0,4,"{'latitude': 40.71909, 'longitude': -74.00332}",
2,Henry Street Ale House,"['62 Henry St', 'Brooklyn, NY 11201']",lqkqsHe_2KN35LE5JIaYNg,3.5,230,"{'latitude': 40.69909448771299, 'longitude': -73.9924659}",$$
3,The Brew Inn,"['924 Manhattan Ave', 'Brooklyn, NY 11222']",w5B0FmQoEOoeURoFuguh0w,4.0,159,"{'latitude': 40.731044, 'longitude': -73.954101}",$$
4,Ralphs Sports Bar,"['1571 Richmond Rd', 'Staten Island, NY 10304']",fK05t_-3PihU5Si_8_hR5g,5.0,16,"{'latitude': 40.591242, 'longitude': -74.101235}",
5,Aris Sport Bar Restaurant,"['4514 3rd Ave', 'Brooklyn, NY 11220']",kKjl8tBSRcehQOPA1RVUlg,3.0,2,"{'latitude': 40.65034, 'longitude': -74.01225}",
6,Banter,"['132 Havemeyer St', 'Brooklyn, NY 11211']",Ro-EW-LYUOXlnkb9wUmX8A,4.5,101,"{'latitude': 40.712184, 'longitude': -73.95743}",$$
7,The Village Tavern,"['46 Bedford St', 'New York, NY 10014']",jC-8mWq2-vVf-Km_6IaEtQ,3.0,120,"{'latitude': 40.730583, 'longitude': -74.004173}",$$
8,Fulton Ale House,"['1446 Fulton St', 'Brooklyn, NY 11216']",TOY_If66a2n0zLNNrH-wag,4.0,44,"{'latitude': 40.6798823, 'longitude': -73.942972}",$$
9,Hair of the Dog,"['168 Orchard St', 'New York, NY 10002']",gdcxZY7HEAb8aOMDsPBKfA,3.0,408,"{'latitude': 40.72132967142, 'longitude': -73.9887227379339}",$$
10,The Ainsworth - Midtown,"['45 E 33rd St', 'New York, NY 10016']",P07uKcnA9gkk7B6exFtuYg,3.0,254,"{'latitude': 40.7468295, 'longitude': -73.98246}",$$
11,Shorty's,"['62 Pearl St', 'New York, NY 10004']",Ai9zcAveCf-eRPup4HIXhw,4.0,277,"{'latitude': 40.7034454, 'longitude': -74.0110779}",$$
12,Greenwich Street Tavern,"['399 Greenwich St', 'New York, NY 10013']",tS57VDB7MA81rzOsQkTrmw,4.0,124,"{'latitude': 40.720839, 'longitude': -74.0096888}",$$
13,Stout NYC FiDi,"['90 John St', 'New York, NY 10038']",CM0RFd0kqkT-LdC3gXGk2Q,3.5,241,"{'latitude': 40.7079086, 'longitude': -74.0064774}",$$
14,The Ainsworth - East Village,"['64 3rd Ave', 'New York, NY 10003']",7qAHwsaiiK2bh404pugjNw,3.0,106,"{'latitude': 40.73138, 'longitude': -73.98902}",$$
15,Hudson Hound,"['575 Hudson St', 'New York, NY 10014']",H3AnaDvXg_tXticwUGL7PA,4.0,110,"{'latitude': 40.73615, 'longitude': -74.00609}",$$
16,At the Wallace,"['3612 Broadway', 'New York, NY 10031']",hhNhU-Lili1DimLWkdmERA,4.5,204,"{'latitude': 40.8286495970992, 'longitude': -73.9485832208136}",$$
17,The Wing Bar,"['275 Smith St', 'Brooklyn, NY 11231']",UOhnGQBzf2ISTHM4Bj5Gvw,3.5,349,"{'latitude': 40.6825199, 'longitude': -73.99318}",$$
18,Keg & Lantern Brewing Company,"['97 Nassau Ave', 'Brooklyn, NY 11222']",8vwANffgp9s9RDCSn3mD5w,4.0,266,"{'latitude': 40.724054, 'longitude': -73.950341}",$$
19,Blue Smoke,"['255 Vesey St', 'New York, NY 10282']",tA1QO_GParSsaOaO8UoBvQ,3.5,649,"{'latitude': 40.714486, 'longitude': -74.0152768}",$$
20,End Zone Sports Bar & Lounge,"['28 Dooley St', 'Brooklyn, NY 11235']",fiAlkC97QY9bUNOghKT9lQ,5.0,6,"{'latitude': 40.58437, 'longitude': -73.9453}",
21,Kelly's Sports Bar,"['12 Ave A', 'New York, NY 10009']",VpkM5wo4hlasE4wgY0rGrQ,3.0,113,"{'latitude': 40.722623616457, 'longitude': -73.9859582483768}",$
22,The Junction,"['329 Lexington Ave', 'New York, NY 10016']",C74MT6T_Ew0fCZjuWU96jQ,4.0,165,"{'latitude': 40.74928, 'longitude': -73.97731}",$$
23,Emblem,"['187 Graham Ave', 'Brooklyn, NY 11206']",_iGGytMIRiutzVDqx_Qing,4.5,97,"{'latitude': 40.70844, 'longitude': -73.94355}",$$
24,Wheeler's Restaurant,"['1707 Sheepshead Bay Rd', 'Brooklyn, NY 11235']",ugzHlkx2ILYzs72_8hxV8w,4.0,189,"{'latitude': 40.5857567, 'longitude': -73.95157}",$$
25,Dram Shop,"['339 9th St', 'Brooklyn, NY 11215']",YBEjrVXSy8CDph7EBV5WJQ,4.0,566,"{'latitude': 40.668823, 'longitude': -73.985152}",$$
26,Jimmy's Corner,"['140 W 44th St', 'New York, NY 10036']",xprzjm5svSSUCZOnaUbQDQ,4.0,606,"{'latitude': 40.7566, 'longitude': -73.98483}",$
27,The Brewery Bar & Kitchen,"['49-18 30th Ave', 'Woodside, NY 11377']",P-XnPhzdGbgbMYIcS0cpTA,4.5,123,"{'latitude': 40.760256, 'longitude': -73.907328}",$$
28,Harlem Tavern,"['2153 Frederick Douglass Blvd', 'New York, NY 10026']",uCsyRxfIfiRqQQuK_JlfZA,3.5,1285,"{'latitude': 40.8046999, 'longitude': -73.95558}",$$
29,Park Plaza Restaurant,"['220 Cadman Plz W', 'Brooklyn, NY 11201']",G16v_BzYeVHDPTUofRifVw,3.5,260,"{'latitude': 40.6979862, 'longitude': -73.9917908}",$$
30,Down The Road Pub,"['683 9th Ave', 'New York, NY 10036']",CsXn5d0kYhCN_5CX6onVUg,4.5,43,"{'latitude': 40.76181, 'longitude': -73.9904}",
31,Treadwell Park,"['1125 1st Ave', 'New York, NY 10065']",t7xqAMBQNH4ppsPSOMzFyg,4.0,455,"{'latitude': 40.7614, 'longitude': -73.9609}",$$
32,Jeremy's Ale House- South Street Seaport,"['228 Front St', 'New York, NY 10038']",rlZP-SWgNXH-2Ejp9dHEgw,4.0,297,"{'latitude': 40.70766, 'longitude': -74.00205}",$
33,Reservoir,"['70 University Pl', 'New York, NY 10003']",KRfq8OvEA7aJmczAQ-8pkQ,3.5,230,"{'latitude': 40.733167, 'longitude': -73.993706}",$$
34,Treadwell Park,"['301 S End Ave', 'New York, NY 10280']",oBAxfAeF6OBukPg3WLmiRg,4.0,160,"{'latitude': 40.7102746, 'longitude': -74.0164863}",$$
35,Mulligan's,"['159 1st St', 'Hoboken, NJ 07030']",-2wm7v5JBQ6N1QL1MY1gwA,4.0,106,"{'latitude': 40.73752, 'longitude': -74.03227}",$$
36,Paddy Maguire's Ale House,"['237 3rd Ave Frnt', 'New York, NY 10003']",Gey_giAxXSzPbpVigXV9jQ,4.0,81,"{'latitude': 40.7364240384139, 'longitude': -73.9848463081818}",$
37,Dalton's Bar & Grill,"['84-14 Astoria Blvd', 'East Elmhurst, NY 11370']",rrDymUQnu95UnZtTeeHfnA,3.5,48,"{'latitude': 40.7643505, 'longitude': -73.8845281}",$$
38,Custom House,"['139 Montague St', 'Brooklyn, NY 11201']",RsLs863308rBCJqwuGfNeA,3.0,175,"{'latitude': 40.694862, 'longitude': -73.993713}",$$
39,DaddyO's BBQ & Sports Bar,"['181 Bay St', 'Staten Island, NY 10301']",nf-uyMpAyhF2zhF0DQF4xg,3.5,216,"{'latitude': 40.63734, 'longitude': -74.075702}",$$
40,Gold Bear,"['377 Park Ave S', 'New York, NY 10016']",Q0-QvpsNMFX-r8ypPhUqTA,4.0,52,"{'latitude': 40.74235, 'longitude': -73.98456}",$$
41,Terminal 1,"['323 Sand Ln', 'Staten Island, NY 10305']",9QWngQn7WeoYaMFKhJ5dFA,4.5,17,"{'latitude': 40.5921058654785, 'longitude': -74.067626953125}",$$
42,Clinton Hall,"['90 Washington St', 'New York, NY 10006']",nm5rcWNmfevNXLNQAITi5w,3.5,684,"{'latitude': 40.70803, 'longitude': -74.014869}",$$
43,Redemption NYC,"['1003 2nd Ave', 'New York, NY 10022']",Y6N7iKl4UL2pNpX4dxYYUg,3.0,369,"{'latitude': 40.756966, 'longitude': -73.967326}",$$
44,Brass Monkey,"['55 Little W 12th St', 'New York, NY 10014']",VYHY4LbrRWZCoZzW25zynQ,3.0,840,"{'latitude': 40.7406584244867, 'longitude': -74.0085168948392}",$$
45,Ruby's Bar & Grill,"['1213 Riegelmann Boardwalk', 'Brooklyn, NY 11224']",LG_HHFQ0vD-PO7WTnrMzLA,3.5,157,"{'latitude': 40.573343, 'longitude': -73.980134}",$$
46,Rocky McBride's,"['27-01 23rd Ave', 'Astoria, NY 11105']",lPAqNxEtJrcZY-X17h4zTQ,4.5,81,"{'latitude': 40.77611, 'longitude': -73.91488}",$$
47,O'Hara's Downtown,"['172 1st St', 'Jersey City, NJ 07302']",KAWZ2Msx0fbRhN1W4_cggw,3.5,252,"{'latitude': 40.7215259224176, 'longitude': -74.0408027172089}",$$
48,Clinton Hall,"['16 W 36th St', 'New York, NY 10018']",bpjDo7svAFD10eszaOPQHw,4.0,198,"{'latitude': 40.75009, 'longitude': -73.98471}",$$
49,Mustang Harry's,"['352 7th Ave', 'New York, NY 10001']",nVjrffApH3q_PkjmZdqpHg,3.5,353,"{'latitude': 40.74842667, 'longitude': -73.99296667}",$$
0,Jack Doyle's Bar & Restaurant,"['240 W 35th St', 'New York, NY 10001']",sDajjybHSYFw8gTVbknPGA,4.0,331,"{'latitude': 40.752132, 'longitude': -73.991852}",$$
1,Stan's Sports Bar,"['836 River Ave', 'Bronx, NY 10451']",_QA8vFYCzqICqssRZ_5lhQ,4.0,133,"{'latitude': 40.8268203, 'longitude': -73.9263982}",$$
2,Stout -  Grand Central,"['60 E 41st St', 'New York, NY 10017']",35ezIH9BDHLY4XVQrxw6NA,3.5,224,"{'latitude': 40.751629629364615, 'longitude': -73.97886976560669}",$$
3,Turnmill,"['119 E 27th St', 'New York, NY 10016']",bF2waGOCiiZ6L9AUA46Rsw,3.5,142,"{'latitude': 40.7424, 'longitude': -73.98356}",$$
4,Amity Hall Uptown,"['982 Amsterdam Ave', 'New York, NY 10025']",yOPbrFZ2ZUsyQWsedP6gUg,4.0,208,"{'latitude': 40.80231, 'longitude': -73.96475}",$$
5,Slainte Bar & Lounge,"['304 Bowery', 'New York, NY 10012']",RBkz0yuQfs_5ExPhL-6jpg,4.0,237,"{'latitude': 40.724811, 'longitude': -73.992832}",$$
6,PJ Clarke's,"['44 W 63rd St', 'Lincoln Square', 'New York, NY 10023']",60_ONUWGij1TbvDHSEcOpQ,3.0,838,"{'latitude': 40.7713765, 'longitude': -73.9824758}",$$
7,El Jefe Nyc,"['186 Dyckman St', 'New York, NY 10040']",bQwxyhOMb8TyzE6nMMk9mQ,2.5,95,"{'latitude': 40.864521982219, 'longitude': -73.9266331493855}",$$
8,White Horse Tavern - Financial District,"['25 Bridge St', 'New York, NY 10004']",lHGQM__w1x5Dxiq3aRPCTQ,4.0,374,"{'latitude': 40.70372, 'longitude': -74.01237}",$
9,Gantry Bar & Kitchen,"['47-02 Vernon Blvd', 'Long Island City, NY 11101']",njDA4ALbcnjLloNC_y0E9w,3.5,142,"{'latitude': 40.7453953419365, 'longitude': -73.9532279223204}",$$
10,Brooklyn Ice House,"['318 Van Brunt St', 'Brooklyn, NY 11231']",Hc2KkfFWYnWYtL11_F40Ew,4.5,226,"{'latitude': 40.67919, 'longitude': -74.011099}",$
11,Tom & Jerry's,"['288 Elizabeth St', 'New York, NY 10012']",iNJDjdm3C9pUTiEcSxOtCA,4.0,256,"{'latitude': 40.724617, 'longitude': -73.993156}",$$
12,Clyde Fraziers Wine and Dine,"['485 10th Ave', 'New York, NY 10018']",ygl43IfAeM8X4XYlSTr90w,3.5,570,"{'latitude': 40.756784795428, 'longitude': -73.9979356060821}",$$
13,Taproom No 307,"['307 3rd Ave', 'New York, NY 10010']",r0kjf2R2H0GMJm5Yj4AusA,3.5,498,"{'latitude': 40.738981, 'longitude': -73.98266}",$$
14,Saluggi's East,"['399 Grand St', 'New York, NY 10002']",ECw0vk1IykU3QIX1okSXdA,3.5,106,"{'latitude': 40.715948062187, 'longitude': -73.9873785183775}",$$
15,Carragher's Pub & Restaurant,"['228 W 39th St', 'New York, NY 10018']",7boggcCID7gVdNFQn4e8hQ,4.0,222,"{'latitude': 40.7561483754108, 'longitude': -73.9908477827673}",$$
16,Lone Wolf,"['1089 Broadway', 'Brooklyn, NY 11221']",m1SprA3LBB5mL8QaH5GTew,4.0,101,"{'latitude': 40.694531, 'longitude': -73.930436}",$
17,Jack's Fire Dept,"['39-46 Skillman Ave', 'Sunnyside, NY 11104']",KFNYlukrDsFBVA0qkXEduw,4.0,90,"{'latitude': 40.7470827, 'longitude': -73.923715}",$
18,Amity Hall,"['80 W 3rd St', 'New York, NY 10012']",6FIzpXy82HBT3KZaiA38-Q,3.5,421,"{'latitude': 40.72963, 'longitude': -73.99892}",$$
